r,g,b,y
0.60572517,0.6616727,0.40615305,1
0.60196704,0.6626773,0.4006587,1
0.57704294,0.63477695,0.40124625,1
0.56427026,0.62088335,0.40346178,1
0.58159554,0.6467872,0.40477788,1
0.61748224,0.62478346,0.41656965,1
0.62594414,0.68024355,0.4316255,1
0.57704294,0.63477695,0.40124625,1
0.58606225,0.6399208,0.3970765,1
0.58614284,0.64275885,0.4067185,1
0.5808086,0.6508386,0.41037503,1
0.5515207,0.6363411,0.438961,1
0.55768365,0.64344704,0.42529562,1
0.51004195,0.5963585,0.40538326,1
0.5561624,0.6360696,0.43073025,1
0.6527277,0.6623538,0.48368508,1
0.60541314,0.6198168,0.4490893,1
0.61216956,0.626307,0.42353883,1
0.57973576,0.63941807,0.41647455,1
0.59803104,0.56916684,0.36603948,2
0.5886936,0.5636826,0.34728074,2
0.6339375,0.5954284,0.34286562,2
0.5974677,0.58404666,0.38747323,2
0.64601386,0.6163212,0.4182537,2
0.6216735,0.59211636,0.34802905,2
0.56838596,0.5512626,0.33607486,2
0.63794774,0.61837393,0.4175361,2
0.58655685,0.56774133,0.34484392,2
0.62489736,0.59623814,0.36771196,2
0.6102404,0.5860895,0.36599833,2
0.57495433,0.5638828,0.37565336,2
0.6080777,0.58409363,0.35598138,2
0.58278376,0.5603817,0.37056252,2
0.63745546,0.6084442,0.36960444,2
0.602759,0.5835867,0.38929123,2
0.61229885,0.5840438,0.3922205,2
0.62020457,0.5959286,0.35955584,2
0.59719735,0.5706074,0.37998134,2
0.60283,0.56934524,0.3279811,2
0.6039345,0.58078533,0.35486874,2
0.5987062,0.5720745,0.35232678,2
0.62762684,0.6119373,0.40169778,2
0.565487,0.54028916,0.36035308,2
0.6323603,0.60743135,0.4180504,2
0.6423127,0.6129441,0.40786564,2
0.6156388,0.58082294,0.35955122,2
0.6076234,0.5948604,0.39425486,2
0.5865471,0.5651118,0.34172785,2
0.6385728,0.598913,0.35213506,2
0.6066324,0.5910102,0.39380142,2
0.6193046,0.6002882,0.3913881,2
0.5943343,0.5833201,0.40247178,2
0.61647147,0.5980291,0.37832415,2
0.6364503,0.6006592,0.39410713,2
0.5956124,0.57520604,0.36588246,2
0.62078226,0.6104944,0.40662405,2
0.6254385,0.611872,0.4117531,2
0.59753174,0.58860385,0.4046791,2
0.6109682,0.5843534,0.36303765,2
0.59769183,0.57387775,0.38575283,2
0.60937583,0.5978389,0.4124827,2
0.5897082,0.5732983,0.39239776,2
0.59113306,0.56305724,0.3611934,2
0.60698634,0.59232926,0.41357726,2
0.61348104,0.593318,0.36762416,2
0.5960781,0.5762031,0.38578358,2
0.59842724,0.58017963,0.3933079,2
0.60212,0.58063823,0.36566365,2
0.60887253,0.58299756,0.39338422,2
0.6082248,0.5841789,0.36288562,2
0.55540866,0.55529743,0.4167557,2
0.5956269,0.5787716,0.38144186,2
0.6176845,0.5960818,0.38839096,2
0.56516016,0.5393494,0.36124694,2
0.6121232,0.5809994,0.37455308,2
0.5803262,0.55758035,0.32960063,2
0.59874105,0.58056325,0.35051173,2
0.59868604,0.5742121,0.3592667,2
0.6199596,0.58846587,0.38242668,2
